property,boundary_median,interior_median,median_ratio,count_boundary,count_interior,u_statistic,p_value
first_ionization_energy_ev,10.6213405,0.4684670000000004,22.672547906255918,6,97,579.0,2.5813588361312332e-05
pauling_en,1.995,0.15000000000000013,13.299999999999988,6,93,558.0,2.1896623203614296e-05
electron_affinity_ev,1.26968,0.687749,1.846138634879876,7,102,543.5,0.01074944089363451
melting_point_k,224.77999999999997,332.905,0.6752076418197384,6,100,259.0,0.7147712178848307
boiling_point_k,841.0699999999999,625.0,1.3457119999999998,7,97,424.0,0.1379029014711815
